Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Choline, total (mg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)"
Cereal beverage,Coffee,5,0.08,1.0,0.06,0.3,0.03,0.008,0.005,0.016,0,0.005,0.001,0.226,0.01,0,0.2,0.0,0.0,0.01,0.0,4,7,4,0.06,0.02,0.013,31,5,0,0,0.0,98.73
"Cereal beverage with beet roots, from powdered instant",Coffee,5,0.08,1.0,0.06,0.3,0.03,0.008,0.005,0.016,0,0.005,0.001,0.226,0.01,0,0.2,0.0,0.0,0.01,0.0,4,7,4,0.06,0.02,0.013,31,5,0,0,0.0,98.73
"Coffee substitute, dry powder",Not included in a food category,360,6.01,78.42,4.63,23.3,2.52,0.603,0.356,1.225,0,0.413,0.095,17.664,0.747,0,13.4,0.0,0.0,0.98,0.0,58,580,244,4.6,0.51,0.208,2443,83,19,0,0.0,7.99
"Tea, hot, leaf, black",Tea,1,0.0,0.3,0.0,0.0,0.0,0.002,0.001,0.004,0,0.0,0.014,0.0,0.0,0,0.4,0.0,0.0,0.0,0.0,0,1,3,0.02,0.02,0.01,37,3,20,2,0.0,99.7
"Tea, hot, leaf, black, decaffeinated",Tea,1,0.0,0.3,0.0,0.0,0.0,0.002,0.001,0.004,0,0.0,0.014,0.0,0.0,0,0.4,0.0,0.0,0.0,0.0,0,1,3,0.02,0.02,0.01,37,3,1,0,0.0,99.7
"Tea, hot, leaf, green",Tea,1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.007,0.058,0.03,0.005,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.02,0.01,0.004,8,1,12,0,0.0,99.93
"Tea, hot, leaf, green, decaffeinated",Tea,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.007,0.058,0.03,0.005,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.01,0.005,15,0,0,0,0.0,99.93
"Tea, hot, leaf, oolong",Tea,1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.06,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.01,0.0,12,3,16,2,0.0,99.84
"Tea, iced, instant, black, unsweetened",Tea,1,0.02,0.23,0.01,0.0,0.0,0.0,0.0,0.0,0,0.0,0.002,0.018,0.001,0,0.2,0.0,0.0,0.0,0.0,3,0,1,0.0,0.01,0.011,10,4,5,0,0.0,99.62
"Tea, iced, instant, black, pre-sweetened with sugar",Tea,30,0.01,7.31,7.07,0.1,0.05,0.007,0.002,0.016,0,0.001,0.0,0.009,0.001,0,0.1,0.0,0.0,0.0,0.0,3,0,1,0.02,0.01,0.01,13,4,3,0,0.0,92.5
"Tea, iced, instant, black, decaffeinated, pre-sweetened with sugar",Tea,31,0.06,7.89,7.76,0.0,0.02,0.0,0.0,0.0,0,0.0,0.004,0.029,0.001,0,0.3,0.0,0.0,0.0,0.0,3,1,2,0.01,0.02,0.011,17,4,0,0,0.0,91.89
"Tea, iced, instant, black, pre-sweetened with low calorie sweetener",Tea,2,0.02,0.44,0.01,0.0,0.0,0.0,0.0,0.0,0,0.0,0.002,0.02,0.001,0,0.2,0.0,0.0,0.0,0.0,3,1,2,0.05,0.01,0.01,14,6,11,0,0.0,99.41
